worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes,pv_benefits,ben_tax_ratio
high,high,1930,65,83,435792.08025713166,389957.96674170916,0.894825730911909
high,high,1935,65,84,580086.5905547764,492305.9476933277,0.8486766557084209
high,high,1940,65,84,659083.962558419,600810.7336184802,0.911584513885401
high,high,1945,65,84,696596.3389779187,631476.7227960081,0.9065174297679236
high,high,1950,65,85,664823.6801073892,656963.7502048123,0.9881774218672426
high,high,1955,65,85,629729.5334840463,696838.5066203875,1.1065679304654072
high,high,1960,65,86,576608.1223483224,623944.9447467931,1.0820953097325172
high,high,1965,65,86,614421.5967820357,669306.0256871607,1.0893269852371337
high,high,1970,65,86,670067.1542488782,721704.3198108578,1.0770626723523897
high,high,1975,65,86,754543.7523682197,782814.7977244931,1.0374677349955408
high,high,1980,65,87,859638.3888620471,876124.5411436493,1.0191780084454183
high,high,1985,65,87,977690.940375843,944653.5391619424,0.9662087477243061
high,high,1990,65,87,1105105.155825509,1015061.2068845285,0.9185200173338093
high,high,1995,65,88,1235746.4361586447,1125646.0464139206,0.9109037367835957
high,high,2000,65,88,1363359.2411731249,1208961.013558853,0.8867516183911898
high,high,2005,65,88,1484191.0266667518,1300318.4416661705,0.8761125881393255
high,high,2010,65,88,1605997.372157116,1399127.642539396,0.8711892477508476
high,max,1930,65,83,484524.9757597066,408694.92779220105,0.8434961007972633
high,max,1935,65,84,653686.3079912562,521172.2923089035,0.7972819469179928
high,max,1940,65,84,762736.5375024772,644725.5924791025,0.8452795438254571
high,max,1945,65,84,844305.7134371824,688793.7556858368,0.8158108428305503
high,max,1950,65,85,847765.2473176636,725712.389817872,0.8560298881253178
high,max,1955,65,85,840761.9978030615,772751.170585187,0.919108109791369
high,max,1960,65,86,788152.3698785317,692976.2610737113,0.8792414862376311
high,max,1965,65,86,837482.5359560394,743791.0503172337,0.8881272365496541
high,max,1970,65,86,907104.5343684419,802328.3751692092,0.8844938425181817
high,max,1975,65,86,1013039.6884040938,869929.9082134478,0.8587323065139767
high,max,1980,65,87,1150745.4402972371,974031.5127355919,0.8464352572051034
high,max,1985,65,87,1304676.0329103242,1049744.5001861244,0.8046016587309209
high,max,1990,65,87,1474616.035697426,1127238.8539270065,0.7644287235720139
high,max,1995,65,88,1655392.7240328896,1249397.7653956898,0.7547440237334682
high,max,2000,65,88,1839323.1780702407,1341707.531600255,0.7294571979503526
