id,worker_type,spouse_type,birth_yr,claim_age,year,age,earnings,death_age,nominal_ben_pb,real_ben_pb
R-very_low-1930-44-65,very_low,none,1930,65,1995,65,0,83,4752,9279.124903436235
R-very_low-1930-44-65,very_low,none,1930,65,1996,66,0,83,4884,9365.487672328909
R-very_low-1930-44-65,very_low,none,1930,65,1997,67,0,83,5028,9478.099010786593
R-very_low-1930-44-65,very_low,none,1930,65,1998,68,0,83,5124,9551.75591923429
R-very_low-1930-44-65,very_low,none,1930,65,1999,69,0,83,5196,9550.853101685734
R-very_low-1930-44-65,very_low,none,1930,65,2000,70,0,83,5328,9576.530819030195
R-very_low-1930-44-65,very_low,none,1930,65,2001,71,0,83,5508,9681.983977466603
R-very_low-1930-44-65,very_low,none,1930,65,2002,72,0,83,5652,9783.150525128356
R-very_low-1930-44-65,very_low,none,1930,65,2003,73,0,83,5724,9715.941013613061
R-very_low-1930-44-65,very_low,none,1930,65,2004,74,0,83,5844,9659.837747647895
R-very_low-1930-44-65,very_low,none,1930,65,2005,75,0,83,6012,9635.469120030826
R-very_low-1930-44-65,very_low,none,1930,65,2006,76,0,83,6252,9720.36482942383
R-very_low-1930-44-65,very_low,none,1930,65,2007,77,0,83,6456,9772.732654495998
R-very_low-1930-44-65,very_low,none,1930,65,2008,78,0,83,6612,9819.64594709294
R-very_low-1930-44-65,very_low,none,1930,65,2009,79,0,83,6984,10308.513604325086
R-very_low-1930-44-65,very_low,none,1930,65,2010,80,0,83,6984,10184.763586994282
R-very_low-1930-44-65,very_low,none,1930,65,2011,81,0,83,6984,9978.91070632113
R-very_low-1930-44-65,very_low,none,1930,65,2012,82,0,83,7236,10149.913888132824
R-very_low-1930-44-65,very_low,none,1930,65,2013,83,0,83,7368,10162.111671512846
R-very_low-1935-44-65,very_low,none,1935,65,2000,65,0,84,5472,9835.355976301282
R-very_low-1935-44-65,very_low,none,1935,65,2001,66,0,84,5664,9956.201388593108
R-very_low-1935-44-65,very_low,none,1935,65,2002,67,0,84,5808,10053.173788029988
R-very_low-1935-44-65,very_low,none,1935,65,2003,68,0,84,5892,10001.104900805058
R-very_low-1935-44-65,very_low,none,1935,65,2004,69,0,84,6012,9937.53328864804
R-very_low-1935-44-65,very_low,none,1935,65,2005,70,0,84,6180,9904.723746139472
R-very_low-1935-44-65,very_low,none,1935,65,2006,71,0,84,6432,10000.22178228632
R-very_low-1935-44-65,very_low,none,1935,65,2007,72,0,84,6636,10045.206613264474
R-very_low-1935-44-65,very_low,none,1935,65,2008,73,0,84,6792,10086.968432041023
R-very_low-1935-44-65,very_low,none,1935,65,2009,74,0,84,7188,10609.62139001843
R-very_low-1935-44-65,very_low,none,1935,65,2010,75,0,84,7188,10482.25668145975
R-very_low-1935-44-65,very_low,none,1935,65,2011,76,0,84,7188,10270.39091595594
R-very_low-1935-44-65,very_low,none,1935,65,2012,77,0,84,7440,10436.064030916004
R-very_low-1935-44-65,very_low,none,1935,65,2013,78,0,84,7572,10443.47306958405
R-very_low-1935-44-65,very_low,none,1935,65,2014,79,0,84,7680,10411.166637945891
R-very_low-1935-44-65,very_low,none,1935,65,2015,80,0,84,7812,10492.713002264069
R-very_low-1935-44-65,very_low,none,1935,65,2016,81,0,84,7812,10393.917590689076
R-very_low-1935-44-65,very_low,none,1935,65,2017,82,0,84,7836,10242.45905077279
R-very_low-1935-44-65,very_low,none,1935,65,2018,83,0,84,7992,10212.401008191358
R-very_low-1935-44-65,very_low,none,1935,65,2019,84,0,84,8208,10318.142472528822
R-very_low-1940-44-65,very_low,none,1940,65,2005,65,0,84,6888,11039.43967045448
R-very_low-1940-44-65,very_low,none,1940,65,2006,66,0,84,7164,11138.306723927115
R-very_low-1940-44-65,very_low,none,1940,65,2007,67,0,84,7404,11207.762170676637
R-very_low-1940-44-65,very_low,none,1940,65,2008,68,0,84,7572,11245.365866816051
R-very_low-1940-44-65,very_low,none,1940,65,2009,69,0,84,8004,11814.05253279181
R-very_low-1940-44-65,very_low,none,1940,65,2010,70,0,84,8004,11672.229059321626
R-very_low-1940-44-65,very_low,none,1940,65,2011,71,0,84,8004,11436.311754495178
R-very_low-1940-44-65,very_low,none,1940,65,2012,72,0,84,8292,11631.161686069288
R-very_low-1940-44-65,very_low,none,1940,65,2013,73,0,84,8436,11635.121343767967
