id,worker_type,spouse_type,birth_yr,claim_age,year_at_65,awi_at_65,real_career_avg_earn,ben_at_65_pb,real_ben_at_65_pb,rep_rate_awi_pb,rep_rate_career_pb
R-very_low-1930-44-65,very_low,none,1930,65,1995,24705.66,9132.061576136579,4752,9279.124903436237,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,none,1935,65,2000,32154.82,9667.23934801242,5472,9835.355976301282,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,none,1940,65,2005,36952.94,10297.447874555955,6888,11039.43967045448,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,none,1945,65,2010,41673.83,10939.898804542418,7788,11357.236371064071,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,none,1950,65,2015,48098.63,11570.508311254445,8508,11427.547647627072,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,none,1955,65,2020,55628.6,12271.277236489217,9840,12205.598419633605,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,none,1960,65,2025,72255.52,13075.299064912882,11604,11844.2028,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,none,1965,65,2030,88030.45,13972.510588664107,14028,12934.323565083403,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,none,1970,65,2035,106494.41,14981.292788937253,13622.9368554,11348.8972031041,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,none,1975,65,2040,127479.7,16103.623714432959,16141.429661952,12149.541008671338,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,none,1980,65,2045,152129.95,17298.903795936818,19159.756896564,13029.952197444109,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,none,1985,65,2050,180927.92,18625.98122905315,22613.05146,13894.62895244844,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,none,1990,65,2055,214968.38,20102.690479206893,26440.145894015997,14678.665865382629,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,none,1995,65,2060,255531.48,21713.72399231629,30706.008858,15402.13987327281,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,none,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,none,2005,65,2070,362245.73,25273.547612499868,41922.139316495995,17166.07630375608,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,none,2010,65,2075,431340.48,27217.177131751643,49124.3603136,18174.374157172246,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,very_low,1930,65,1995,24705.66,9132.061576136579,4752,9279.124903436237,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,very_low,1935,65,2000,32154.82,9667.23934801242,5472,9835.355976301282,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,very_low,1940,65,2005,36952.94,10297.447874555955,6888,11039.43967045448,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,very_low,1945,65,2010,41673.83,10939.898804542418,7788,11357.236371064071,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,very_low,1950,65,2015,48098.63,11570.508311254445,8508,11427.547647627072,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,very_low,1955,65,2020,55628.6,12271.277236489217,9840,12205.598419633605,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,very_low,1960,65,2025,72255.52,13075.299064912882,11604,11844.2028,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,very_low,1965,65,2030,88030.45,13972.510588664107,14028,12934.323565083403,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,very_low,1970,65,2035,106494.41,14981.292788937253,13622.9368554,11348.8972031041,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,very_low,1975,65,2040,127479.7,16103.623714432959,16141.429661952,12149.541008671338,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,very_low,1980,65,2045,152129.95,17298.903795936818,19159.756896564,13029.952197444109,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,very_low,1985,65,2050,180927.92,18625.98122905315,22613.05146,13894.62895244844,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,very_low,1990,65,2055,214968.38,20102.690479206893,26440.145894015997,14678.665865382629,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,very_low,1995,65,2060,255531.48,21713.72399231629,30706.008858,15402.13987327281,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,very_low,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,very_low,2005,65,2070,362245.73,25273.547612499868,41922.139316495995,17166.07630375608,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,very_low,2010,65,2075,431340.48,27217.177131751643,49124.3603136,18174.374157172246,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,low,1930,65,1995,24705.66,9132.061576136579,4752,9279.124903436237,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,low,1935,65,2000,32154.82,9667.23934801242,5472,9835.355976301282,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,low,1940,65,2005,36952.94,10297.447874555955,6888,11039.43967045448,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,low,1945,65,2010,41673.83,10939.898804542418,7788,11357.236371064071,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,low,1950,65,2015,48098.63,11570.508311254445,8508,11427.547647627072,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,low,1955,65,2020,55628.6,12271.277236489217,9840,12205.598419633605,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,low,1960,65,2025,72255.52,13075.299064912882,11604,11844.2028,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,low,1965,65,2030,88030.45,13972.510588664107,14028,12934.323565083403,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,low,1970,65,2035,106494.41,14981.292788937253,13622.9368554,11348.8972031041,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,low,1975,65,2040,127479.7,16103.623714432959,16141.429661952,12149.541008671338,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,low,1980,65,2045,152129.95,17298.903795936818,19159.756896564,13029.952197444109,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,low,1985,65,2050,180927.92,18625.98122905315,22613.05146,13894.62895244844,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,low,1990,65,2055,214968.38,20102.690479206893,26440.145894015997,14678.665865382629,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,low,1995,65,2060,255531.48,21713.72399231629,30706.008858,15402.13987327281,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,low,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,low,2005,65,2070,362245.73,25273.547612499868,41922.139316495995,17166.07630375608,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,low,2010,65,2075,431340.48,27217.177131751643,49124.3603136,18174.374157172246,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,medium,1930,65,1995,24705.66,9132.061576136579,4752,9279.124903436237,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,medium,1935,65,2000,32154.82,9667.23934801242,5472,9835.355976301282,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,medium,1940,65,2005,36952.94,10297.447874555955,6888,11039.43967045448,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,medium,1945,65,2010,41673.83,10939.898804542418,7788,11357.236371064071,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,medium,1950,65,2015,48098.63,11570.508311254445,8508,11427.547647627072,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,medium,1955,65,2020,55628.6,12271.277236489217,9840,12205.598419633605,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,medium,1960,65,2025,72255.52,13075.299064912882,11604,11844.2028,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,medium,1965,65,2030,88030.45,13972.510588664107,14028,12934.323565083403,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,medium,1970,65,2035,106494.41,14981.292788937253,13622.9368554,11348.8972031041,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,medium,1975,65,2040,127479.7,16103.623714432959,16141.429661952,12149.541008671338,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,medium,1980,65,2045,152129.95,17298.903795936818,19159.756896564,13029.952197444109,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,medium,1985,65,2050,180927.92,18625.98122905315,22613.05146,13894.62895244844,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,medium,1990,65,2055,214968.38,20102.690479206893,26440.145894015997,14678.665865382629,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,medium,1995,65,2060,255531.48,21713.72399231629,30706.008858,15402.13987327281,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,medium,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.16316886346732257,0.95976306343983
